latitude,longitude,temperature,salinity,chlorophyll,,time_step
-15.05518574,162.2571503,23.29984855,34.19060939,0.552454057,,0
-41.28065756,-159.0898996,26.65440364,34.20780508,2.153410476,,0
-57.52986068,169.1675468,25.81106602,31.48637377,0.627292405,,0
-37.99145882,-70.47279253,18.11891079,33.02361513,0.944564507,,0
13.42234737,-129.7822102,12.30361621,32.5645329,1.422602954,,0
34.22111537,-108.1174384,17.85586096,34.14690198,0.234706197,,0
12.90538223,-118.6113155,6.626289825,36.64219876,2.900332896,,0
37.00768177,-70.3390431,7.44180285,34.78963119,1.376442232,,0
-45.35541182,-1.73631236,5.859713028,36.36524281,0.850461947,,0
19.50267412,-67.78401261,18.00170053,33.82697196,0.636077921,,0
56.35015533,99.04781641,28.48747354,36.26379145,1.833909939,,0
50.6249082,-148.1426993,9.89957156,30.31659102,1.043457959,,0
-13.35872524,-82.31434856,25.71843773,32.49727329,0.914710078,,0
5.123529979,-129.267279,25.05492452,30.52185451,2.961972116,,0
32.66937232,-108.4623546,5.138052928,35.70823,2.149886297,,0
27.48086016,97.65732481,6.851116293,32.5092601,0.436020273,,0
43.57241111,44.38732566,13.27245062,30.44490845,1.001848733,,0
-20.97800136,82.6582242,20.93893678,36.2104892,1.469423283,,0
-45.64869049,76.7681234,24.01962622,33.92894038,2.335804822,,0
-0.744528436,8.183818578,15.68852546,30.17793389,0.412885138,,0
-56.22849772,49.10774805,12.85889953,33.55999484,2.731942774,,0
-30.0849325,-32.26214771,23.88877846,31.60158716,0.323241739,,0
-25.22982565,-121.9603366,28.24244131,35.65684266,1.936870894,,0
44.57527082,109.3219477,9.664251472,36.24791299,1.664092502,,0
36.89281862,142.592868,12.95008687,30.77036347,0.761011971,,0
-8.747065365,114.4853157,26.51826458,30.04866491,1.581167177,,0
-9.910679622,-100.0411882,7.996634183,32.3633062,2.834438141,,0
-21.21564816,6.764623828,22.57547397,32.54540722,2.91816804,,0
55.49367539,-89.3583735,17.43121265,32.10614817,0.926037434,,0
-55.57356632,39.44316023,17.56697558,30.36035126,0.908074746,,0
48.99190632,-93.75771936,8.622371802,33.42616932,2.958386317,,0
-30.95336742,61.96879707,24.04049038,31.66346281,2.211827411,,0
-15.86602407,47.63009901,20.83824277,33.75042279,0.361840333,,0
40.23629947,-64.51917661,9.66296276,30.28542599,1.813589535,,0
21.30772342,-174.0283816,17.80232646,31.58547043,1.971001092,,0
-39.07602852,68.73758572,14.66838366,36.55710992,0.498810738,,0
-19.07203787,-139.1495324,28.11734046,36.14137547,0.84803072,,0
19.19808552,114.1999921,18.88002029,33.70755405,0.801371644,,0
-48.82766786,142.9976729,27.51045143,34.4317102,1.083186394,,0
-18.09485105,81.34404439,27.4277565,36.20960497,2.361639083,,0
17.04379754,-149.7096126,9.040717852,36.28987932,1.858644273,,0
-58.89635381,-143.4702446,21.58754423,30.03543109,0.566343349,,0
5.848054724,69.08227117,21.29903149,31.56988517,2.165319742,,0
-31.5301095,-62.85610866,23.66228513,34.54743029,2.56274789,,0
18.91354708,24.5910972,7.341869196,32.57401062,0.869086866,,0
-30.72124279,170.2837997,14.82744312,36.24432589,1.930302015,,0
35.37735642,0.949353518,19.42259712,33.44762386,0.666204665,,0
26.69425383,-78.92194952,5.607899161,34.51830607,0.61362097,,0
52.85503012,163.4142877,27.87160976,32.5911109,0.144824188,,0
51.39822751,-25.85370661,29.16637048,36.74533984,2.573727421,,0
-24.66613295,-41.3648177,26.27841679,32.21845404,0.591528965,,0
6.816151495,157.0157187,22.40074492,33.99042819,0.381811832,,0
13.8008672,176.419386,8.502100381,33.62830757,2.644381909,,0
28.89223413,70.92566676,22.5621021,32.51643806,0.951416348,,0
37.12333866,111.6408221,26.67680796,36.39268387,1.582892957,,0
0.181955362,107.3862644,21.24909827,34.91376814,2.407798741,,0
46.80064102,-58.32174353,14.38957382,30.65787358,1.777012409,,0
-55.68692714,-12.38471347,18.56611587,32.00578876,1.813416456,,0
-56.33997001,-166.5546521,25.56501402,32.52133449,0.468475487,,0
2.669191207,97.19767912,10.39552569,34.36023333,0.347507648,,0
-53.79819346,11.28766736,18.51587804,34.46200931,2.205664868,,0
57.10224954,5.868125388,13.07391182,35.56630336,0.885413529,,0
-7.323429515,-151.7557027,5.633768585,36.7385389,2.524342349,,0
23.51690473,-32.77694001,9.332358002,31.0950593,0.825704405,,0
5.907199765,77.25453217,21.50493442,31.95953728,2.869109314,,0
28.54763,19.5674589,20.29301866,32.93720044,0.81841987,,0
-17.28327856,92.82459977,5.359837216,30.81250848,0.233407662,,0
-55.11254372,127.9658102,22.59144648,33.3192168,0.383719066,,0
-1.006094986,-9.550162519,9.330046748,33.03696154,1.25566373,,0
13.90201177,48.63371431,6.132600244,32.6222883,1.914993756,,0
0.37635103,128.3363428,21.46734079,31.14054099,0.304649367,,0
17.09031338,-170.4559282,19.64438953,36.58161169,1.768875116,,0
-13.41960886,51.58375864,16.45632226,33.81931753,2.830247945,,0
-13.66768346,166.028603,27.63376605,31.37053794,0.301147773,,0
-47.90663983,-173.4401428,7.361074019,34.78104741,0.306447081,,0
-21.72292436,124.1551119,5.581798393,35.70127938,0.917378847,,0
-45.82022069,70.82537953,20.72357117,36.14230409,2.231706027,,0
36.41771165,-78.46755387,9.435988594,35.25430326,2.439820744,,0
58.86061704,-31.45763631,14.30045214,35.43489073,1.088330267,,0
51.69087907,129.0285907,15.72485068,35.25609747,2.288174335,,0
-47.62513574,144.9190464,17.63130931,35.78520226,1.028143843,,0
47.46278742,-39.88739566,5.270941287,36.33767383,0.364731363,,0
-21.68236349,162.0223081,28.76517867,34.01406522,1.932327915,,0
-6.186537363,-74.44412219,13.21661363,34.70762919,2.281886135,,0
34.98948525,104.2625314,7.280152576,33.46094213,0.266920404,,0
5.943465879,-21.04901951,27.19260457,32.45640509,0.439494348,,0
-42.84099815,94.14382742,20.45545158,30.70785873,0.343909738,,0
